case_idx,example_id,story_id,ground_truth,prediction,pattern,num_iterations,premises,conclusion,root_cause_category,error_description,problematic_axiom
100,1368,472,False,Uncertain,Uncertain → False,1,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion due to a misunderstanding of the logical implications of the premises.",N/A
102,1012,379,False,Uncertain,Uncertain → False,1,"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born",Luke complains often about annoying siblings.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that Luke complains often about annoying siblings.",N/A
36,621,219,True,Uncertain,Uncertain → True,1,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,INCORRECT_FORMALIZATION,"The axiom R1 is incorrectly formalized; it should state that if a composer wrote a music piece, then the composer is a composer, not the other way around.","axiom R1 : ∀ x y : obj, Composer x → MusicPiece y → Wrote x y"
29,1303,452,False,Uncertain,Uncertain → False,3,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth,","If Marvin is not from Mars, then Marvin is a human.",REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the correct conclusion due to a misunderstanding of the logical implications.",N/A
40,928,350,True,Uncertain,Uncertain → True,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is evocative and dreamy.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that a design by Max is evocative and dreamy.",N/A
41,929,350,False,Uncertain,Uncertain → False,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is either evocative or dreamy.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to account for designs by Max that he does not adore, leading to an incorrect conclusion.",N/A
114,527,183,False,Uncertain,Uncertain → False,1,"If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, then x is taller than z
Peter is a man who is taller than Michael.
Michael ca",Peter is shorter than a man in Michael's class.,REASONING_FAILURE,"The axioms are correctly formalized, but the conclusion cannot be derived from the given premises due to lack of information about the class members and their heights relative to Peter.",N/A
46,456,159,True,Uncertain,Uncertain → True,1,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,REASONING_FAILURE,"The axioms are correct, but the reasoning fails to conclude that James's favorite season is summer because it does not establish that James is a student.",rule_students_longvac_summer
118,440,151,True,Uncertain,Uncertain → True,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",There is at least one cove in Antarctica named after a place in Bulgaria.,INCORRECT_FORMALIZATION,"The axiom T7 incorrectly states that Antarctica is located in the South Shetland Islands, which contradicts the geographical hierarchy.",axiom T7 : LocatedIn Antarctica SouthShetlandIslands
119,441,151,False,Uncertain,Uncertain → False,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",Barutin Cove is not located in Antarctica.,REASONING_FAILURE,"The axioms and transitivity rule are correctly formalized, but the reasoning fails to derive the conclusion that Barutin Cove is located in Antarctica.",N/A
122,787,315,False,Uncertain,Uncertain → False,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is a Solo EV.,REASONING_FAILURE,"The axioms are correctly formalized, but the conclusion that John's car is a Solo EV cannot be derived from the given premises.",N/A
123,788,315,True,Uncertain,Uncertain → True,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is not a Solo EV.,INCORRECT_FORMALIZATION,"The axiom A5 is incorrectly formalized; it should directly state that if John's car is not a Tesla Model 3, then it is a single-seat electric car.",axiom A5 : ¬ TeslaModel3 johns_car → SingleSeatElectricCar johns_car
127,846,330,False,Uncertain,Uncertain → False,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John has a larger family.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that John has a larger family, as the premises do not provide sufficient information to conclude this.",N/A
128,847,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John does not have a larger family.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that John does not have a larger family.",N/A
202,308,101,Uncertain,True,True → Uncertain,1,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,OTHER,"The premises do not provide enough information to definitively conclude that Ailton Silva was loaned out to a football club, as the ground truth is uncertain.",N/A
130,849,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John neither has a larger family nor does he invite others to his wedding.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning process fails to derive the conclusion from the given premises.",N/A
196,1325,459,False,Uncertain,Uncertain → False,2,"Jane does not like any animals that bark.
All dogs are animals that bark.
Jane likes all animals that jump.
If an animal has legs, then it jumps.
If an animal is terricolous, then it has legs. 
KiKi is an animal.
If KiKi neither jumps nor has legs, then KiKi is terricolous or has legs.",KiKi is a barking dog.,REASONING_FAILURE,"The axioms are correctly formalized, but the reasoning fails to derive the conclusion that KiKi is a barking dog, as the premises do not support this conclusion.",N/A
70,819,322,Uncertain,True,True → Uncertain,1,"All growth stocks are bought to earn profits from rapid price appreciation.
If the stock price is bought to earn profits from rapid price appreciation, then it is not suitable for a retirement fund.
Some stocks are growth stocks.
All mature stocks are suitable for a retirement fund.
KO is a mature s",KO is a stock.,AXIOMATIZES_CONCLUSION,"The conclusion that KO is a stock is directly axiomatized by A5_stock, making the theorem trivial.",axiom A5_stock : Stock KO
