case_idx,example_id,story_id,ground_truth,prediction,pattern,num_iterations,premises,conclusion,root_cause_category,error_description,problematic_axiom
100,1368,472,False,Uncertain,Uncertain → False,1,"Animals are either invertebrates or vertebrates.
All animals with backbones reproduce by male-and-female mating. 
All vertebrate animals have a backbone.
All bees do not reproduce by male-and-female mating.
All queen bees are bees.
Harry is a bee.","If Harry is either both a vertebrate and an animal with a backbone, or neither a vertebrate nor an animal with a backbone, then Harry is neither an invertebrate nor a queen bee.",REASONING_GAP,"The proof logic fails to establish the conclusion or its negation from the given axioms, indicating a gap in reasoning rather than an issue with the axioms themselves.",N/A
102,1012,379,False,Uncertain,Uncertain → False,1,"People who are born in a multiple birth with siblings spend a lot of time hanging out with and playing with their siblings.
If people have siblings who were born together, then they were born in a multiple birth.
If people complain often about annoying siblings, then they have siblings who were born",Luke complains often about annoying siblings.,REASONING_GAP,"The proof logic is flawed as it fails to derive the conclusion from the given premises, and neither the conclusion nor its negation is provable.",N/A
36,621,219,True,Uncertain,Uncertain → True,1,"Symphony No. 9 is a music piece.
Composers write music pieces.
Beethoven wrote Symphony No. 9.
Vienna Music Society premiered Symphony No. 9.
Vienna Music Society is an orchestra.
Beethoven leads the Vienna Music Society.
Orchestras are led by conductors.",Beethoven is a composer.,REASONING_GAP,"The axioms correctly formalize the premises, but the proof logic does not connect Beethoven being a conductor to him being a composer, which is necessary to conclude Beethoven is a composer.",N/A
29,1303,452,False,Uncertain,Uncertain → False,3,"All aliens are extraterrestrials.
If someone is from Mars, then they are an alien.
No extraterrestrials are human.
All highly intelligent beings from Earth are humans.
Marvin is a highly intelligent being.
Marvin is either from Earth and from Mars, or he is from neither.
If Marvin is not from Earth,","If Marvin is not from Mars, then Marvin is a human.",REASONING_GAP,"The axioms are correctly formalized, but the proof logic fails to account for all possible scenarios, leading to an incorrect conclusion.",N/A
40,928,350,True,Uncertain,Uncertain → True,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is evocative and dreamy.,REASONING_GAP,"The axioms are correctly formalized, but the proof logic fails to connect the premises to the conclusion that a design by Max is evocative and dreamy.",N/A
41,929,350,False,Uncertain,Uncertain → False,1,"All of Zaha Hadid's design styles that Max adores have interesting geometries.
No brutalist buildings that Max adores have interesting geometries.
Every style that Max adores is either Zaha Hadid's design style or Kelly Wearstler's design style. 
All of Kelly Wearstler's design styles that Max adore",A design by Max is either evocative or dreamy.,REASONING_GAP,"The proof logic incorrectly assumes that all designs by Max that he adores are evocative, but it does not account for the possibility of non-adored designs by Max, which could be neither evocative nor dreamy.",N/A
114,527,183,False,Uncertain,Uncertain → False,1,"If a man is taller than another man, the taller one can block the other's shooting.
Michael is a man who is taller than everyone else in his class.
If person x is taller than person y, and person y is taller than person z, then x is taller than z
Peter is a man who is taller than Michael.
Michael ca",Peter is shorter than a man in Michael's class.,REASONING_GAP,"The axioms do not provide enough information to conclude that Peter is shorter than a man in Michael's class, as there is no antisymmetry or irreflexivity constraint on the Taller relation.",N/A
46,456,159,True,Uncertain,Uncertain → True,1,"There are four seasons in a year: Spring, Summer, Fall, and Winter.
All students who want to have a long vacation have summer as their favorite season.
Emma's favorite season is summer.
Mia's favorite season is not the same as Emma's. 
James wants to have a long vacation.",James's favorite season is summer.,REASONING_GAP,"The proof logic is flawed because it does not account for the fact that James is a student, which is necessary to apply the rule that students who want a long vacation have summer as their favorite season.",N/A
118,440,151,True,Uncertain,Uncertain → True,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",There is at least one cove in Antarctica named after a place in Bulgaria.,REASONING_GAP,The proof logic fails to apply the transitivity of location correctly to show that Barutin Cove is located in Antarctica.,N/A
119,441,151,False,Uncertain,Uncertain → False,1,"Barutin Cove is a cove named after the Bulgarian settlement of Barutin.
Barutin Cove is on the southwest coast of Snow Island.
Snow Island, Greenwich Island, and Deception Island are located in the South Shetland Islands.
Antarctica is located on the South Shetland Islands. 
If place A is located in",Barutin Cove is not located in Antarctica.,REASONING_GAP,"The axioms correctly formalize the premises, but the proof does not derive the conclusion that Barutin Cove is located in Antarctica, nor its negation, due to a lack of transitive reasoning to connect Barutin Cove to Antarctica.",N/A
122,787,315,False,Uncertain,Uncertain → False,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is a Solo EV.,REASONING_GAP,"The axioms are correctly formalized, but the conclusion that John's car is a Solo EV cannot be logically derived from the given premises.",N/A
123,788,315,True,Uncertain,Uncertain → True,1,"If something can transport multiple passengers, then they are not one-seaters.
All Tesla Model 3 can transport multiple passengers.
All single-seat electric cars are one-seaters.
All Solo EV cars are single-seat electric cars. 
If John's car is not a Tesla Model 3, then John's car is not a Tesla Mod",John's car is not a Solo EV.,REASONING_GAP,"The axioms are correctly formalized, but the proof logic fails to derive the conclusion that John's car is not a Solo EV.",N/A
127,846,330,False,Uncertain,Uncertain → False,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John has a larger family.,REASONING_GAP,"The axioms are correctly formalized, but the conclusion that John has a larger family cannot be derived from the given premises.",N/A
128,847,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John does not have a larger family.,REASONING_GAP,"The axioms are correctly formalized, but the proof does not derive the conclusion that John does not have a larger family.",N/A
202,308,101,Uncertain,True,True → Uncertain,1,"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva was loaned out to a football club.,INCORRECT_FORMALIZATION,"The formalization incorrectly assumes that Ailton Silva being loaned out to Braga implies he was loaned out to a football club, without considering the uncertainty of the ground truth.",loanAiltonBraga
130,849,330,True,Uncertain,Uncertain → True,1,"All people who make wedding plans are people who are engaged.
All people who invite others to come to their ceremony make wedding plans.
Anyone who has a well-attended wedding invites others to come to their ceremony.
Some people that have well-attended weddings have larger families.
If John is enga",John neither has a larger family nor does he invite others to his wedding.,REASONING_GAP,"The axioms are correctly formalized, but the conclusion is not logically derived from the premises due to a gap in reasoning.",N/A
